codice_tipologia,nome,macro_categoria,denominazione,[soggetto],[formato],formato,titolo,[titolo prodotto],nome2,[nome produttore],codice_licenza_app,codice_licenza_app2,denominazione2,[nome licenza],rilevanza,descrizione,codice_localizzazione,comune,provincia,regione,lat,lon
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,4,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,5,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,7,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,9,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,6,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,2,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Previdenza e assistenza,Previdenza assistenza,Db,Db,-,,-,,1,1,-,,4,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,8,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,3,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,7,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Sicurezza,Sicurezza,Firebird,Firebird,-,,-,,1,1,-,,2,-,2026,Chiampo,VI,Veneto,45.5458,11.2775
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Firebird,Firebird,-,,-,,1,1,-,,7,-,5961,Rovereto,TN,Trentino Alto Adige,45.891,11.0398
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Bilancio,Bilancio,IBM DB2,DB2 su AS400,???,,Iasi s.rl.,Iasi,1078,1078,Licenza d'uso,Licenza d'uso,1,Contabilità generale e analitica,7154,Teramo,TE,Abruzzo,42.6611,13.6987
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Sql Server,Sqlserver,3MPARM,3MPARM,3M,3M,1078,1078,Licenza d'uso,Licenza d'uso,1,GROUPER,1032,Cagliari,CA,Sardegna,39.2238,9.12166
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,MySql,Mysql,4C,4c,CSAmed,CSAmed,1078,1078,Licenza d'uso,Licenza d'uso,1,Cartella Clinica Cardio Chirurgica,4954,Parma,PR,Emilia Romagna,44.7993,10.3382
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Gestione del personale,Gestione personale,Oracle,Dbms oracle,770,770,Data Processing Spa,Data processing,1078,1078,Licenza d'uso,Licenza d'uso,5,Modello 770,5446,Potenza,PZ,Basilicata,40.6404,15.8056
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,A50,A50,ASL2,ASL2,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Flusso ricette,6653,Savona,SV,Liguria,44.2976,8.4645
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AAR,AAR,Data processing,Data processing,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione attività ambulatoriale e refertazione,3325,Imola,BO,Emilia Romagna,44.36,11.7124
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Access,Ms access,Abamix,Abamix,HPG23,HPG23,1879,1879,Proprietà dell'azienda,Proprietà dell'azienda,1,Gestione dei dati relativi alla Farmacia Ospedaliera,639,Bergamo,BG,Lombardia,45.6983,9.67727
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,ACC,ACC,ASL2,ASL2,1866,1866,Proprietà,Proprietaria,1,Gestione Accettazione,6653,Savona,SV,Liguria,44.2976,8.4645
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,IBM DB2,RDBMS DB2/400,ACCETTAQ,ACCETTAQ,ASL 1,ASL 1,2199,2199,Sviluppo interno,Sviluppo interno,1,ADT Ospedale San Salvatore,3402,L'Aquila,AQ,Abruzzo,42.3498,13.3995
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ACCEWEB,ACCEWEB,Hitech S.p.A.,Hitech,1629,1629,? (NESSUNA???),Nessuna,2,AccettazioneOspedaliera-Movimentazione Degenti-Lettere di Dimissione,894,Breno,BS,Lombardia,45.957,10.3027
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ACCEWEB,ACCEWEB,Hitech S.p.A.,Hitech,1629,1629,? (NESSUNA???),Nessuna,2,AccettazioneOspedaliera-Movimentazione Degenti-Lettere di Dimissione,894,Breno,BS,Lombardia,45.957,10.3027
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ACCEWEB,ACCEWEB,Hitech S.p.A.,Hitech,1078,1078,Licenza d'uso,Licenza d'uso,1,AccettazioneOspedaliera-Movimentazione Degenti-Lettere di Dimissione,894,Breno,BS,Lombardia,45.957,10.3027
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,MySql,Dbms mysql,AcquaFesca,AcquaFesca,ASL Milano 2,ASL Milano 2,1628,1628,Nessuna,Nessuna,1,Gestione campionamenti acque potabili,3966,Melegnano,MI,Lombardia,45.3563,9.32146
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Sql,Sql,Acquisitore in tempo reale,Acquisitore in tempo reale,Ragni sistemi,Ragni sistemi,1078,1078,Licenza d'uso,Licenza d'uso,3,"Modulo collegato a Sirp, per l'invio delle timbrature in tempo reale",2749,Fidenza,PR,Emilia Romagna,44.8663,10.0616
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,MySql,Mysql,Acquisizione DURC,Acquisizione DURC,Goodmen S.r.l.,Goodmen,1078,1078,Licenza d'uso,Licenza d'uso,1,Inserimento DURC aziende fornitrici,7169,Terni,TR,Umbria,42.5636,12.6427
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Sql Server,Sql server,AdCweb,AdCweb,SISTEMAINTRANET.COM DI LUCA MORISI E ANDREA PAGANELLA S.N.C.,SISTEMAINTRANET.COM DI LUCA MORISI E ANDREA PAGANELLA,1078,1078,Licenza d'uso,Licenza d'uso,1,Applicativo gestionale a supporto del Servizio ISL al fine dello svolgimento delle attività relative alle indagini ispettive in materia di igiene e sicurezza sul lavoro per la prevenzione degli infortuni e delle malattie professionali. Registrazione attività per archiviazione e rendicontazione,7635,Varese,VA,Lombardia,45.8206,8.82506
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Sql Server,Sql server,ADCWeb,AdCweb,Sistemaintranet.com Snc - Porto Mantovano (MN),Sistemaintranet.com,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione attività di controllo del Dipartimento di Prevenzione Medico,2433,Cremona,CR,Lombardia,45.1332,10.0227
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Sql Server,Sql server,ADDESTRAMENTI,ADDESTRAMENTI,Nord Est Systems S.r.l.,Nord Est Systems,1078,1078,Licenza d'uso,Licenza d'uso,1,Modulo per la gestione dei processo di formazione,7470,Udine,UD,Friuli Venezia Giulia,46.0711,13.2346
L34,Aziende Pubbliche di Servizi alla Persona,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Bilancio,Bilancio,Sql Server,Microsoft sql server,AdHoc,Adhoc,SoftwareUno Ins,Softwareuno ins,1078,1078,Licenza d'uso,Licenza d'uso,1,"Gestione moduli di contabilità, economato, patrimonio, controllo di gestione e magazzino",7678,Venezia,VE,Veneto,45.4408,12.3155
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Microsoft sql,Microsft SQL,ADI,ADI,Dedalus,Dedalus,1078,1078,Licenza d'uso,Licenza d'uso,2,Cartella delle cure domiciliari,4074,Mirano,VE,Veneto,45.495,12.1159
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADIWEB,ADIWEB,Tekne,Tekne,1078,1078,Licenza d'uso,Licenza d'uso,1,"Gestione modularizzata dell'area socio sanitaria e sociale, fruibile attraverso portale e integrabile con il sistema regionale CRS-SISS",3610,Lodi,LO,Lombardia,45.3138,9.50183
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Personale,Personale,Oracle,Dbms oracle,ADPERSONAM,ADPERSONAM,Dedalus,Dedalus,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Giuridica ed Economica del personale,5245,Pisa,PI,Toscana,43.7228,10.4017
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Personale,Personale,Oracle,Dbms oracle,ADPERSONAM,ADPERSONAM,Dedalus,Dedalus,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Giuridica ed Economica del personale,3660,Lucca,LU,Toscana,43.8394,10.4957
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Lavoro,Lavoro,Oracle,Oracle 11g,ADS paghe,ADS paghe,ADS - Bologna,ADS - Bologna,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestionale stipendi,532,Bari,BA,Puglia,41.1171,16.8719
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Ms sql,Ms-sql,ADT,ADT,Dedalus,Dedalus,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Ricoveri dimissioni ospedalieri,1454,Casale Monferrato,AL,Piemonte,45.1316,8.4505
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,ADT,ADT,Dedalus spa,Dedalus,1078,1078,Licenza d'uso,Licenza d'uso,2,GESTIONE ACCETTAZIONE DIMISSIONI TRASFERIMENTI E SDO,7343,Trapani,TP,Sicilia,38.0188,12.5174
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,ADT,ADT,Engennering,Engineering,1628,1628,Nessuna,Nessuna,2,gestioen dei ricoveri e delle liste di attesa,740,Bologna,BO,Emilia Romagna,44.4949,11.3426
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADT,ADT,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione ricoveri,3660,Lucca,LU,Toscana,43.8394,10.4957
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADT,ADT,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione ricoveri,3660,Lucca,LU,Toscana,43.8394,10.4957
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,ADT,ADT,Insiel mercato,Insiel mercato,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestionale ricoveri e lettera di dimissione,4074,Mirano,VE,Veneto,45.495,12.1159
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Ricoveri,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,DICOM,DICOM,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Ricoveri,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,AdtWeb,AdtWeb,Engineering,Engineering,1908,1908,Proprietaria,Proprietaria,1,Gestione dei ricoveri Ospedalieri,687,Biella,BI,Piemonte,45.5629,8.05834
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,2,Gestione Attività di Ricovero,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,1,Gesione dei ricoveri ospedalieri,5245,Pisa,PI,Toscana,43.7228,10.4017
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1401,1401,Licenza d'uso utenti illimitati,Licenza d'uso utenti illimitati,1,"Gestione Accesso-Gestione Accettazione e Lista d'attesa-Gestione Trasferimento; in regime ordinario, day hospistal e day surgey. Pianificazione del servizio. Inquadramento Clinico, Monitoraggio e Valutazione",4046,Milano,MI,Lombardia,45.4655,9.18652
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,AdtWeb,AdtWeb,Engineering,Engineering,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Ricoveri,2991,Gallarate,VA,Lombardia,45.6602,8.7918
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADTWeb,AdtWeb,Enginnering.IT spa,Enginnering.IT,1258,1258,Licenza d'uso illimitata e a tempo indeterminato,Licenza d'uso illimitata e a tempo indeterminato,1,Applicativo aziendale per la gestione dei pazienti in regime di ricovero ordinario o in Day Hospital. Fornisce l'identificativo unico di ricovero (nosologico) e gestisce la movimentazione e la dimissione dei pazienti con la compilazione dei dati della Scheda di Dimissione. Permette la compilazione e la firma elettronica della lettera di Dimissione.,2433,Cremona,CR,Lombardia,45.1332,10.0227
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADTweb,AdtWeb,Insiel mercato,Insiel mercato,1078,1078,Licenza d'uso,Licenza d'uso,2,"Gestione Liste attesa ricoveri, accettazione-dimissione pazienti, compilazione SDO",50,Adria,RO,Veneto,45.0555,12.056
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADTWeb,AdtWeb,Santer - Reply S.p.A.,Santer Reply,1078,1078,Licenza d'uso,Licenza d'uso,1,"Applicativo aziendale per la gestione delle liste di attesa per i ricoveri ordinari e day hospital, delle accettazioni, delle dimissioni e dei trasferimenti, nonché la generazione dei flussi informativi per la rendicontazione regionale",4046,Milano,MI,Lombardia,45.4655,9.18652
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Dbms oracle,ADT Web,AdtWeb,Data processing,Data processing,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione Ricoveri,3325,Imola,BO,Emilia Romagna,44.36,11.7124
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,Oracle,Oracle,AGFA elefante,AGFA elefante,Agfa,Agfa,1078,1078,Licenza d'uso,Licenza d'uso,1,Gestione dipartimenti radiologici,5062,Perugia,PG,Umbria,43.1107,12.3908
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,MySql,Dbms mysql,AIRO,AIRO,Regione Basilicata,Regione Basilicata,1965,1965,Riuso,Riuso,3,"Sistema Informativo per la gestione dei ricoveri ospedalieri: Gestione posti Letto, ADT (Ammissione, Dimissione e Trasferimento), SDO (Scheda di Dimissione Ospedaliera e calcolo DRG",5712,Rionero In Vulture,PZ,Basilicata,40.9264,15.6697
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,MySql,Dbms mysql,AIRO,AIRO,Regione Basilicata,Regione Basilicata,1965,1965,Riuso,Riuso,3,"Sistema Informativo per la gestione dei ricoveri ospedalieri: Gestione posti Letto, ADT (Ammissione, Dimissione e Trasferimento), SDO (Scheda di Dimissione Ospedaliera e calcolo DRG",5446,Potenza,PZ,Basilicata,40.6404,15.8056
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,DBMS Sql,DBMS Sql,AIRO,AIRO,Regione Basilicata,Regione Basilicata,1965,1965,Riuso,Riuso,1,"Sistema Informativo per la gestione dei ricoveri ospedalieri: Gestione posti Letto, ADT (Ammissione, Dimissione e Trasferimento), SDO (Scheda di Dimissione Ospedaliera e calcolo DRG",5712,Rionero In Vulture,PZ,Basilicata,40.9264,15.6697
L7,Aziende Sanitarie Locali,ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,DBMS Sql,DBMS Sql,AIRO,AIRO,Regione Basilicata,Regione Basilicata,1965,1965,Riuso,Riuso,2,"Sistema Informativo per la gestione dei ricoveri ospedalieri: Gestione posti Letto, ADT (Ammissione, Dimissione e Trasferimento), SDO (Scheda di Dimissione Ospedaliera e calcolo DRG",5446,Potenza,PZ,Basilicata,40.6404,15.8056
L8,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",ASL/Aziende ospedaliere/Istituti di ricovero/Servizi alla persona,Salute,Salute,DBMS Sql,DBMS Sql,AIRO,AIRO,Regione Basilicata,Regione Basilicata,1965,1965,Riuso,Riuso,1,"Sistema Informativo per la gestione dei ricoveri ospedalieri: Gestione posti Letto, ADT (Ammissione, Dimissione e Trasferimento), SDO (Scheda di Dimissione Ospedaliera e calcolo DRG",5712,Rionero In Vulture,PZ,Basilicata,40.9264,15.6697
