codice_tipologia,provincia,regione,soggetto,formato,prodotto,produttore
L7,VA,Lombardia,Salute,Microsoft SQL Server,AdCweb,SISTEMAINTRANET.COM DI LUCA MORISI E ANDREA PAGANELLA S.N.C.
L7,CR,Lombardia,Salute,Microsoft SQL Server,AdCweb,Sistemaintranet.com Snc - Porto Mantovano (MN)
L34,UD,Friuli Venezia Giulia,Lavoro,Microsoft SQL Server,ADDESTRAMENTI,Nord Est Systems S.r.l.
L34,VE,Veneto,Bilancio,Microsoft SQL Server,AdHoc,SoftwareUno
L7,VE,Veneto,Salute,Microsoft SQL Server,ADI,Dedalus
L7,LO,Lombardia,Salute,Oracle,ADIWEB,Tekne
L7,PI,Toscana,Personale,Oracle,ADPERSONAM,Dedalus
L7,LU,Toscana,Personale,Oracle,ADPERSONAM,Dedalus
L8,BA,Puglia,Lavoro,Oracle,ADS paghe,ADS - Bologna
L7,AL,Piemonte,Salute,Microsoft SQL Server,ADT,Dedalus
L7,TP,Sicilia,Salute,Oracle,ADT,Dedalus
L8,BO,Emilia Romagna,Salute,Oracle,ADT,Engineering
L7,LU,Toscana,Salute,Oracle,ADT,Engineering
L7,LU,Toscana,Salute,Oracle,ADT,Engineering
L7,VE,Veneto,Salute,Oracle,ADT,Insiel mercato
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,DICOM,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L7,BI,Piemonte,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L7,PI,Toscana,Salute,Oracle,AdtWeb,Engineering
L8,MI,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,VA,Lombardia,Salute,Oracle,AdtWeb,Engineering
L8,CR,Lombardia,Salute,Oracle,AdtWeb,Engineering
L7,RO,Veneto,Salute,Oracle,AdtWeb,Insiel mercato
L8,MI,Lombardia,Salute,Oracle,AdtWeb,Santer Reply
L7,BO,Emilia Romagna,Salute,Oracle,AdtWeb,Data processing
L7,PG,Umbria,Salute,Oracle,AGFA elefante,Agfa
L8,PZ,Basilicata,Salute,Mysql,AIRO,Regione Basilicata
L7,PZ,Basilicata,Salute,Mysql,AIRO,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,AIRO,Regione Basilicata
L8,TR,Umbria,Salute,Microsoft SQL Server,Ais Web,Az.Osp. S.Maria di Terni
L34,MO,Emilia Romagna,Altro: segreteria,Oracle,Akropolis,Datamanagement
L8,BO,Emilia Romagna,Lavoro,Mysql,Albo collaboratori,Cup2000
L7,BO,Emilia Romagna,Bilancio,Web,Albo fornitori FARE,CSAmed
L7,VE,Veneto,Comunicazioni,Oracle,Albo pretorio,Dedagroup
L7,TR,Umbria,Salute,Mysql,Albo pretorio,Sistematica S.p.a.
L34,RE,Emilia Romagna,Sicurezza,Sql,ALFAGEST,Lema Informatica Srl
L7,MI,Lombardia,Altro: amministrazione,Mysql,Alfresco NordCom,Alfresco Software Inc.
L8,PV,Lombardia,Salute,Oracle,Aliseo,Windex
L8,GE,Liguria,Lavoro,Oracle,Aliseo,Windex
L8,GE,Liguria,Bilancio,Oracle,Aliseo,Windex
L8,CR,Lombardia,Salute,Oracle,Aliseo,Windex
L7,MN,Lombardia,Lavoro,Oracle,Aliseo,Windex
L8,MI,Lombardia,Altro: gestione Risorse Umane,Oracle,Aliseo - piattaforma integrata per la gestione delle Risorse Umane,Windex di Verona
L8,CO,Lombardia,Salute,Mysql,Allergo_Web 1.0,CED Azienda Ospedaliera Sant'Anna
L7,FE,Emilia Romagna,Salute,Oracle,ALP,Delta informatica
L7,BS,Lombardia,Salute,Oracle,AMBNET,Hitech S.p.A.
L7,BS,Lombardia,Salute,Oracle,AMBNET,Hitech S.p.A.
L7,BS,Lombardia,Salute,Oracle,AMBNET,Hitech S.p.A.
L8,MN,Lombardia,Salute,Oracle,Ambulatori,Data processing
L8,MI,Lombardia,Salute,Oracle,AMBweb,Engineering
L8,MI,Lombardia,Salute,Oracle,AMC,Engineering
L7,TR,Umbria,Salute,Microsoft SQL Server,Amiantus,Università degli Studi di Perugia
L8,TR,Umbria,Salute,Lotus,Amico workflow,Sistematica
L7,VR,Veneto,Salute,Database regionale. Non si conosce il formato,Anagrafe Regionale,Engineering
L8,PR,Emilia Romagna,Salute,Oracle,Anagrafe Pazienti Centralizzata,Gruppo Finmatica (ADS - Data Processing)
L7,RO,Veneto,Salute,Oracle,Anagrafe Sanitaria,Engineering
L7,VE,Veneto,Salute,Oracle,Anagrafe UNICA,Insiel mercato
L7,BZ,Trentino Alto Adige,Salute,Oracle,ANAGRAFICA,EDP
L34,PD,Veneto,Lavoro,Firebird,ANAGRAFICA,Pasqualini Davide
L7,MI,Lombardia,Salute,Oracle,Analisi 5.0,Polisystem
L7,MN,Lombardia,Salute,Oracle,Analisi 5.1,POLISYSTEM INFORMATICA S.r.l.
L34,MO,Emilia Romagna,Bilancio,Firebird,ANALITICA,Cba informatica
L7,BO,Emilia Romagna,Salute,Oracle,APC,Data processing
L7,SS,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,CI,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,OG,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,VS,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,CA,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,OR,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,OT,Sardegna,Salute,Oracle,Anonimizzatore,Santer Reply
L7,SV,Liguria,Salute,Oracle,ANPA,Engineering
L7,MI,Lombardia,Salute,Sql,Antiinfluenzale,ASL Milano
L7,CN,Piemonte,Salute,Oracle,APC,Ads
L8,MN,Lombardia,Salute,Oracle,APC,Data processing
L7,PI,Toscana,Salute,Oracle,APC,Data processing
L34,VI,Veneto,Previdenza e assistenza,Postgresql,APP-ASSISTANT,Advenias s.r.l.
L34,VI,Veneto,Previdenza e assistenza,Postgresql,APP-ASSISTANT,Advenias s.r.l.
L34,RE,Emilia Romagna,Previdenza e assistenza,Postgresql,APP-ASSISTANT,Advenias s.r.l.
L34,RE,Emilia Romagna,Previdenza e assistenza,Postgresql,APP-ASSISTANT,Advenias s.r.l.
L7,CA,Sardegna,Salute,Oracle,APUS,Noemalife
L7,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L7,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L8,PZ,Basilicata,Salute,Sql,ARCA,Regione Basilicata
L34,VE,Veneto,Salute,MICROSOFT ACCESS 97 / 2000,Arca per Windows,Selesta ingegneria
L34,RE,Emilia Romagna,Altro: gestione personale,Microsoft SQL Server,Arca Sql,Selesta ingegneria
L7,SV,Liguria,Salute,Oracle,ARCH,ASL2
L34,PD,Veneto,Lavoro,Sql,ARCHIDOC,Siav
L7,CR,Lombardia,Comunicazioni,Oracle,Archiflow,Ditta SIAV Spa - Rubano (PD)
L8,CR,Lombardia,Salute,Oracle,Archiflow,Siav
L7,LO,Lombardia,Documentale,Raman,Archiflow,Siav
L7,BS,Lombardia,Salute,Oracle,Archiflow,Siav
L7,BZ,Trentino Alto Adige,Salute,Oracle,Archiflow,Siav
L7,AQ,Abruzzo,Trasparenza,Microsoft SQL Server,Archiflow,Siav
L8,BG,Lombardia,Salute,Oracle,Archiflow,SIAV SISTEMI DIGITALI Spa
L8,GE,Liguria,Comunicazioni,Velocity Object DB,Archiflow,Siav
L7,BS,Lombardia,Salute,Oracle,ArchiflowWEB,Siav
L7,BS,Lombardia,Salute,Oracle,ArchiflowWEB,Siav
L7,RO,Veneto,Salute,Oracle,Archiviazione,Insiel mercato
L8,PR,Emilia Romagna,Salute,Microsoft SQL Server,Archivio Cartelle Cliniche,Az.Ospedaliero-universitaria Parma
L7,PG,Umbria,Salute,Mysql,Archivio digitale Cartelle Cliniche,Azienda USL Umbria 1
L7,VA,Lombardia,Salute,Microsoft SQL Server,Archivio Pazienti Fragili,ASL Varese
L8,BO,Emilia Romagna,Salute,Oracle,Areas,Engineering
L7,AO,Valle D'Aosta,Lavoro,Oracle,Areas,Engineering
L7,TP,Sicilia,Salute,Oracle,Areas,Engineering
L8,PR,Emilia Romagna,Salute,Oracle,Areas - Gestione Reparto,Engineering
L8,RC,Calabria,Salute,Oracle,AREAS Sistema Informativo Ospedaliero,Engineering
L7,AQ,Abruzzo,Salute,RDBMS Sybase SQL Anywhere,Argos,Dedalus
L8,PZ,Basilicata,Salute,Sql,ARIA,Varian Medical System
L7,MI,Lombardia,Salute,Sql,Arianna,Dedalus
L7,BO,Emilia Romagna,Salute,Microsoft SQL Server,Arianna,Dedalus
L7,AL,Piemonte,Salute,Microsoft SQL Server,AriannaCUP,Dedalus
L7,AL,Piemonte,Salute,Microsoft SQL Server,AriannaCUP,Dedalus
L7,PT,Toscana,Salute,Microsoft SQL Server,Arianna PS,Dedalus
L7,OG,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,OT,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,OG,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,VS,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,OG,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,CA,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,SS,Sardegna,Salute,Microsoft SQL Server,Arianna Screening,Dedalus
L7,CA,Sardegna,Salute,Oracle,Armonia,Dedalus
L7,AL,Piemonte,Salute,Oracle,Armonia,Dedalus
L7,VR,Veneto,Salute,Oracle,Armonia,Dedalus
L7,BS,Lombardia,Salute,Oracle,Armonia,Dedalus
L8,MI,Lombardia,Salute,Oracle,Armonia,Dedalus
L7,BS,Lombardia,Salute,Oracle,Armonia,Dedalus
L8,MI,Lombardia,Salute,Oracle,Armonia,Dedalus
L8,MN,Lombardia,Salute,Oracle,Armonia,Dedalus
L8,GE,Liguria,Salute,Oracle,Armonia,Dedalus
L8,GE,Liguria,Salute,Oracle,Armonia,Dedalus
L8,CR,Lombardia,Salute,Oracle,Armonia,Dedalus
L8,BG,Lombardia,Salute,Oracle,Armonia,Dedalus
L7,PG,Umbria,Salute,Oracle,ASCOTWEB,Webred
L7,MI,Lombardia,Salute,Sql,ASL Desktop,Core-Mi
L34,UD,Friuli Venezia Giulia,Previdenza e assistenza,MySql 5,ASP Services,Arte Informatica Sas di Marco Crescente & C.
L34,UD,Friuli Venezia Giulia,Altro: gestione magazzino e pasti,MySql 5,ASP Services,Arte Informatica srl
L7,BS,Lombardia,Bilancio,Sql,Asset,Sviluppo interno
L7,BI,Piemonte,Salute,Oracle,AssetPlus,GE
L7,BI,Piemonte,Salute,Microsoft SQL Server,AssetPlus,GE
L8,MI,Lombardia,Salute,Microsoft SQL Server,AssetPlus,GE Healtcare
L8,MI,Lombardia,Salute,Microsoft SQL Server,AssetPlus,GE Healtcare
L7,MI,Lombardia,Salute,Oracle,Assistant RL,Santer Reply
L8,MI,Lombardia,Salute,Microsoft access,Asssitenza domiciliare,ASL Milano
L7,VR,Veneto,Salute,Microsoft access,AssTe Cot,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer Cari,Applicazione Interna
L7,VR,Veneto,Salute,Microsoft access,AssTer Evol,Applicazione Interna
L7,LU,Toscana,Salute,Oracle,Aster,Caribel Programmazione
L7,LU,Toscana,Salute,Oracle,Aster,Caribel Programmazione
L7,PG,Umbria,Salute,Oracle,Aster,Caribel Programmazione
L7,CR,Lombardia,Salute,Oracle,Aster,Caribel Programmazione
L7,TE,Abruzzo,Salute,Oracle,Aster,Caribel Programmazione
L7,TE,Abruzzo,Salute,Oracle,Aster,Caribel Programmazione
L7,TE,Abruzzo,Salute,Oracle,Aster,Caribel Programmazione
L7,PI,Toscana,Salute,Oracle,Aster,Insiel
L7,AQ,Abruzzo,Salute,Oracle,Aster,Caribel Programmazione
L7,LO,Lombardia,Salute,Oracle,ASTER CML,Caribel Programmazione
L8,GE,Liguria,Salute,Sybase,ASTRAIA,ASTRAIA Gmbh
L7,TR,Umbria,Salute,Microsoft SQL Server,Astrim,Astrim SpA
L8,CZ,Calabria,Gestione documentale,Oracle,Athena,Noemalife
L7,BO,Emilia Romagna,Salute,Oracle,Athena,Noemalife
L8,PR,Emilia Romagna,Salute,Oracle,Athena,Noemalife
L8,MB,Lombardia,Salute,Oracle,Athena,Noemalife
L7,AL,Piemonte,Salute,Microsoft SQL Server,AttiUnici,Italcom
L8,GE,Liguria,Salute,Oracle,AURORA PS,Exprivia
L7,VR,Veneto,Salute,Microsoft access,AttPsic,Applicazione Interna
L8,GE,Liguria,Salute,Oracle,AUDIOLOGIA,Istituto Giannina Gaslini
L7,BS,Lombardia,Bilancio,Oracle,Audiovat,GPI s.p.a.
L8,GE,Liguria,Salute,Oracle,AURORA,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA PS,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA PS,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA PS,Exprivia
L8,GE,Liguria,Salute,Oracle,AURORA PS,Exprivia
L7,TR,Umbria,Salute,Microsoft SQL Server,Automa,Umbracontrol
L7,MI,Lombardia,Salute,Oracle,Avelco,Avelco
L7,BO,Emilia Romagna,Salute,Oracle,Avelcoweb,Avelco
L7,MI,Lombardia,Salute,Oracle,Avelcoweb,Avelco
L7,TR,Umbria,Salute,Mysql,Avvisi Contabilità,Systems Technology
L7,RM,Lazio,Infrastrutture,Mysql,Bacula,Bacula Systems SA
L7,BI,Piemonte,Salute,Oracle,Babele,CSI-Piemonte
L8,LO,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,LO,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,VA,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,VA,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,BG,Lombardia,Salute,Oracle,BAC,Softeam S.p.a.
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,CR,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,BS,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,PV,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,SO,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,PV,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,LC,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,SO,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,CR,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,MB,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,BS,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,PV,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,PV,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,BG,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,VA,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,MN,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,BG,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,CR,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,BS,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MI,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,BS,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,LC,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,MB,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L8,CO,Lombardia,Salute,Oracle,BAC - Base Anagrafe e Codifiche,Lombardia informatica
L7,TO,Piemonte,Altro: specificare : Banca dati a supporto sistema decisionale,ORACLE-SAS,Banca dati decisionale- dati amministrativi e sanitari,Csi
L8,BO,Emilia Romagna,Salute,Oracle,Banca dell'osso,Istituto Ortopedico Rizzoli
L34,VI,Veneto,Previdenza e assistenza,Firebird,Bilancio,Cba informatica
L34,VI,Veneto,Lavoro,Firebird,Bilancio,Cba informatica
L34,VR,Veneto,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,VI,Veneto,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,RA,Emilia Romagna,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,TN,Trentino Alto Adige,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,TN,Trentino Alto Adige,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,TN,Trentino Alto Adige,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L34,TN,Trentino Alto Adige,Lavoro,Firebird,BILANCIO DI PREVISIONE,Cba informatica
L7,SV,Liguria,Salute,Oracle,BLOP2,Dedalus
L8,VA,Lombardia,Salute,Oracle,BOPB,Engineering
L8,BO,Emilia Romagna,Salute,Microsoft SQL Server,Braccialetti,SORI-DP
L8,CR,Lombardia,Salute,Oracle,Broker,Agfa spa
L34,TV,Veneto,Altro: gestione amministrativa,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TV,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VR,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,MO,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,PD,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,PD,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,RE,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,PD,Veneto,Bilancio,Firebird,Budget,Cba informatica
C7,TO,Piemonte,Bilancio,Firebird,Budget,Cba informatica
L34,VE,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,PD,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,UD,Friuli Venezia Giulia,Bilancio,Firebird,Budget,Cba informatica
L34,VR,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TV,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,RA,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
C7,TO,Piemonte,Bilancio,Firebird,Budget,Cba informatica
L34,VR,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TV,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,BO,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,PD,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TV,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,MB,Lombardia,Bilancio,Firebird,Budget,Cba informatica
L34,TV,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
C7,TO,Piemonte,Bilancio,Firebird,Budget,Cba informatica
L34,PN,Friuli Venezia Giulia,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,RE,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,RO,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,RA,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Firebird,Budget,Cba informatica
L34,MO,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,IM,Liguria,Bilancio,Firebird,Budget,Cba informatica
L34,FC,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,RE,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,PR,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,MO,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,PR,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,UD,Friuli Venezia Giulia,Bilancio,Firebird,Budget,Cba informatica
L34,BO,Emilia Romagna,Bilancio,Firebird,Budget,Cba informatica
L34,TN,Trentino Alto Adige,Bilancio,Firebird,Budget,Cba informatica
L34,FE,Emilia Romagna,Bilancio,Firebord,Budget,Cba informatica
L34,VI,Veneto,Bilancio,Microsoft SQL Server,Budget di contabilità,Esakon snc
L34,VR,Veneto,Salute,Microsoft SQL Server,Budget di contabilità,Esakon snc
L34,VE,Veneto,Salute,Microsoft SQL Server,Budget di contabilità,Esakon snc
L7,AQ,Abruzzo,Salute,Mysql,BUN,Micra
L34,TN,Trentino Alto Adige,Salute,Mysql,BUSTER MANAGER,Spid spa
L7,TR,Umbria,Salute,Microsoft SQL Server,Bustermed,Spid
L34,TN,Trentino Alto Adige,Salute,Mysql,Bustermed center,Spid spa
