"codice_ipa","denominazione","codice_fiscale","mail","mail_pec","codice_tipologia","codice_localizzazione"
"ac_co","Automobile Club Como","00224620138","automobileclubcomo@pec.aci.it",t,"C13",2272
"ac_cs","Automobile Club Cosenza","00280660788","automobileclubcosenza@pec.aci.it",t,"C13",2385
"acc_un63","Automobile Club Campobasso","00054680707","automobileclubcampobasso@pec.aci.it",t,"C13",1168
"ace_en","Automobile Club Enna","00040060865","automobileclubenna@pec.aci.it",t,"C13",2623
"acepr_","Azienda Casa Emilia Romagna della Provincia di Ravenna","00080700396","acerravenna@legalmail.it",t,"L37",5630
"acerpf","Azienda Casa Emilia Romagna della Provincia di Forli' - Cesena","00139940407","protocollo@aziendacasafc.legalmail.it",t,"L39",2857
"acf_071","Automobile Club Foggia","00130840713","automobileclubfoggia@pec.aci.it",t,"C13",2808
"ac_fc","Automobile Club Forli'-Cesena","00140190406","automobileclubforlicesena@pec.it",t,"C13",2857
"ac_fe","Automobile Club Ferrara","00051540383","aciferrara@mailsicura.info",t,"C13",2732
"ac_fi","Automobile Club Firenze","00442510483","automobileclubfirenze@pec.aci.it",t,"C13",2782
"ac_fr","Automobile Club Frosinone","00105020606","automobileclubfrosinone@pec.aci.it",t,"C13",2943
"ac_ge","Automobile Club Genova","00272220104","AUTOMOBILECLUBGENOVA@PEC.ACI.IT",t,"C13",3073
"aci","Automobile Club d'Italia","00493410583","automobileclubitalia@pec.aci.it",t,"C13",5873
"aci_ba","Automobile Club Bari","00268440724","automobileclubbari@pec.aci.it",t,"C13",532
"aci_bg","Automobile Club Bergamo","00216410167","automobileclubbergamo@pec.aci.it",t,"C13",639
"acibl","Automobile Club Belluno","00064890254","automobileclubbelluno@pec.aci.it",t,"C13",607
"aci_bl","Automobile Club Biella","00165000027","automobileclubbiella@pec.aci.it",t,"C13",687
"ACICU","Automobile Club Cuneo","00163030042","automobileclubcuneo@pec.aci.it",t,"C13",2474
"aciepo","Automobile Club Ivrea","00503620015","automobileclubivrea@pec.aci.it",t,"C13",3389
"aci_gr","Automobile Club Grosseto","00081460537","acgrosseto@pec.it",t,"C13",3258
"aci_is","Automobile Club Isernia","00032020943","automobileclubisernia@pec.aci.it",t,"C13",3355
"au14ch","Azienda ULSS 14 Chioggia","02798310278","asl14@pecveneto.it",t,"L7",2053
"aci_lc","Automobile Club Lecco","02180630135","automobileclublecco@pec.aci.it",t,"C13",3504
"acili","Automobile Club Livorno","00102360492","automobileclublivorno@pec.aci.it",t,"C13",3593
"ac_im","Automobile Club Imperia","00095860086","automobileclubimperia@pec.aci.it",t,"C13",3326
"acimc","Automobile Club Macerata","00111890430","acmacerata@pec.aci.it",t,"C13",3710
"aci_pn","Automobile Club Pordenone","00074950932","automobileclubpordenone@pec.aci.it",t,"C13",5402
"acla_","Automobile Club L'Aquila","00080450661","automobileclubaquila@pec.aci.it",t,"C13",3402
"acls","Automobile Club La Spezia","00072430119","automobileclublaspezia@pec.aci.it",t,"C13",3409
"ac_lt","Automobile Club Latina","00114260599","automobileclublatina@pec.aci.it",t,"C13",3477
"ac_lu","Automobile Club Lucca","00148920465","automobileclublucca@pec.aci.it",t,"C13",3660
"acm_","Automobile Club Milano","00815430152","automobileclubmilano@pec.aci.it",t,"C13",4046
"acmc","Automobile Club Massa Carrara","00060950458","automobileclubmassacarrara@pec.aci.it",t,"C13",3907
"acmdc_","Asp Collegio Morigi - De Cesaris","01531860334","info@pec.collegiomorigi.it",t,"L34",5111
"acm_me","Automobile Club Messina","00082380833","automobileclubmessina@pec.aci.it",t,"C13",4015
"acmt","Automobile Club Matera","00045490778","acmatera@pec.it",t,"C13",3930
"acn_063","Automobile Club Napoli","00284380631","automobileclubnapoli@pec.aci.it",t,"C13",4547
"acp","Automobile Club Pisa","00125820506","automobileclubpisa@pec.aci.it",t,"C13",5245
"acp_","Automobile Club Piacenza","00113240337","automobileclubpiacenza@pec.aci.it",t,"C13",5111
"acpi","Automobile Club Pistoia","00108840471","automobileclubpistoia@pec.aci.it",t,"C13",5253
"acp_pe","Automobile Club Pescara","00084550680","automobileclubpescara@pec.aci.it",t,"C13",5066
"acp_pg","Automobile Club Perugia","00185770542","automobileclubperugia@pec.aci.it",t,"C13",5062
"acpr","Automobile Club Prato","01650720970","automobileclubprato@pec.aci.it",t,"C13",5491
"ac_pu","Automobile Club Pesaro e Urbino","00112030416","automobileclubpesarourbino@pec.aci.it",t,"C13",5063
"acp_ud","Automobile Club Pavia","00180630188","automobileclubpavia@pec.aci.it",t,"C13",4991
"acpz","Automobile Club Potenza","00095730768","automobileclubpotenza@pec.aci.it",t,"C13",5446
"acr_","Automobile Club Ragusa","00078890886","automobileclubragusa@pec.aci.it",t,"C13",5606
"ac_ra","Automobile Club Ravenna","00085710390","info@pec.acravenna.it",t,"C13",5630
"acree","Automobile Club Reggio Emilia","00149520355","automobileclubreggioemilia@pec.it",t,"C13",5650
"ac_rn","Automobile Club Rimini","00140700402","automobileclubrimini@pec.aci.it",t,"C13",5702
"acr_rm","Automobile Club Roma","00460880586","automobileclubroma@pec.aci.it",t,"C13",5873
"acr_ro","Automobile Club Rovigo","00042230292","automobileclubrovigo@pec.it",t,"C13",5965
"ac_sremo","Automobile Club Sanremo","00082040080","automobileclubsanremo@pec.aci.it",t,"C13",6431
"acs_sa","Automobile Club Salerno","00184290658","automobileclubsalerno@pec.aci.it",t,"C13",6032
"acs_si","Automobile Club Siena","00052970522","automobileclubsiena@pec.aci.it",t,"C13",6850
"acs_so","Automobile Club Sondrio","00050750140","automobileclubsondrio@pec.aci.it",t,"C13",6932
"acs_sr","Automobile Club Siracusa","00051170892","automobileclubsiracusa@pec.aci.it",t,"C13",6876
"act","Automobile Club Trieste","00054560321","automobileclubtrieste@pec.aci.it",t,"C13",7417
"act_022","Automobile Club Trento","00123590226","automobileclubtrento@pec.aci.it",t,"C13",7378
"acta","Automobile Club Taranto","00092090737","automobileclubtaranto@pec.aci.it",t,"C13",7112
"acto","Automobile Club Torino","00498530013","automobileclubtorino@pec.aci.it",t,"C13",7251
"act_te","Automobile Club Teramo","00081850679","automobileclubteramo@pec.aci.it",t,"C13",7154
"act_tr","Automobile Club Terni","00053350559","automobileclubterni@pec.aci.it",t,"C13",7169
"ac_tv","Automobile Club Treviso","00190250266","actreviso@pec.acitv.it",t,"C13",7401
"acu","Automobile Club Udine","00160740304","automobileclubudine@legalmail.it",t,"C13",7470
"acv","Automobile Club Venezia","00185920279","automobileclubvenezia@pec.aci.it",t,"C13",7678
"ac_va","Automobile Club Varese","00215310129","automobileclubvarese@pec.aci.it",t,"C13",7635
"ac_v_ao","Automobile Club Valle d'Aosta","00040470072","automobileclubaosta@pec.aci.it",t,"C13",266
"acvc","Automobile Club Vercelli","00162140024","ac.vercelli@pec.aci.it",t,"C13",7692
"ac_vco","Automobile Club Verbano Cusio Ossola","00216680033","automobileclubvco@pec.aci.it",t,"C13",2569
"acv_vi","Automobile Club Vicenza","00170580245","automobileclubvicenza@pec.aci.it",t,"C13",7760
"acv_vr","Automobile Club Verona","00225010230","automobileclubverona@pec.it",t,"C13",7713
"acv_vt","Automobile Club Viterbo","00060470564","automobileclubviterbo@pec.aci.it",t,"C13",7950
"adan_063","Istituto Comprensivo 4 D'Auria - Nosengo di Arzano","93056770634","naic8ef001@pec.istruzione.it",t,"L33",367
"adanv","Autorita' D'Ambito N.1 Verbano Cusio Ossola e Pianura Novarese","94068150039","ato1@cert.ruparpiemonte.it",t,"L44",4639
"adato_tv","Consiglio di Bacino Veneto Orientale","03691070266","pec@aatovo.legalmail.it",t,"L44",2291
"adbpo","Autorita' di Bacino del Fiume Po","92038990344","protocollo@postacert.adbpo.it",t,"L40",4954
"adcbr","Asp Dei Comuni della Bassa Romagna","02295380394","aspbassaromagna@pec.it",t,"L34",448
"adcec_vd","Ordine dei Dottori Commercialisti e degli Esperti Contabili di Busto Arsizio","90035370122","ordine.bustoarsizio@pec.commercialisti.it",t,"C14",1007
"adcec_vo","Ordine dei Dottori Commercialisti e degli Esperti Contabili di Voghera","95026960187","ordine.voghera@pec.commercialisti.it",t,"C14",7972
"adisu","Agenzia per Il Diritto allo Studio Universitario di Puglia","06888240725","direzionegenerale@pec.adisupuglia.it",t,"L15",532
"adsua_","Azienda Pubblica della Regione Campania per il diritto allo Studio Universitario Ateneo Federico II","80047560638","protocollo@pec.adisufederico2.it",t,"L15",4547
"adsulo","A.Di.S.U. L'Orientale","80044460634","adisulorientale@legalmail.it",t,"L15",4547
"adsu_pg","Agenzia per il Diritto allo Studio Universitario dell'Umbria","00453460545","adisu@pec.it",t,"L15",5062
"adsus_sa","A.DI.SU.SALERNO AZIENDA PER IL DIRITTO ALLO STUDIO UNIVERSITARIO","80018110652","adisu.sa.direzione@actaliscertymail.it",t,"L15",2786
"aes_065","Angri Eco Servizi Azienda Speciale","03853810657","angriecoservizi@cgn.legalmail.it",t,"L37",242
"aespa","Amg Energia S.P.A.","04797170828","segreteria@pec.amgenergia.it",t,"L37",4904
"affs","A.F.Formiggini Lliceo Scientifico e Classico","93038940362","mops080003@pec.istruzione.it",t,"L33",6634
"afrp","Agenzia Forestale Regionale","94143220542","agenziaregionaleforestaleumbra@legalmail.it",t,"L13",5062
"agcm_","Autorita Garante della Concorrenza e del Mercato","97076950589","protocollo.agcm@pec.agcm.it",t,"C5",5873
"agcom","Autorita' per le Garanzie nelle Comunicazioni - AGCOM","95011660636","agcom@cert.agcom.it",t,"C5",4547
"agcspa","Aeroporto Gianni Caproni Spa","01158950228","segreteria@pec.aeroportocaproni.it",t,"L37",7378
"age","Agenzia delle Entrate","06363391001","agenziaentratepec@pce.agenziaentrate.it",t,"C10",5873
"agea","Agenzia per le Erogazioni in Agricoltura - AGEA","97181460581","protocollo@pec.agea.gov.it",t,"C3",5873
"AGENAS","Agenzia Nazionale per i Servizi Sanitari Regionali - AGENAS","97113690586","agenas@pec.agenas.it",t,"C3",5873
"agtmsr","A.G.T. Multiservizi S.R.L.","04307560872","agtmultiservizi@pec.agtmultiservizi.it",t,"L37",3224
"aic_063","ISTITUTO COMPRENSIVO ARZANO IC 3 KAROL WOITYLA","93006830637","NAIC8FS008@PEC.ISTRUZIONE.IT",t,"L33",367
"aidsu","Azienda per Il Dirittto allo Studio Universitario di Benevento","01135250627","adisubenevento@legalmail.it",t,"L15",629
"aifa_rm","Agenzia Italiana del Farmaco - AIFA","97345810580","aifa@aifa.mailcert.it",t,"C3",5873
"aiifp_","Agenzia Interregionale per Il Fiume Po","92116650349","protocollo@cert.agenziapo.it",t,"L2",4954
"aisg_048","Autorita' per Il Servizio di Gestione Integrata Dei Rifiuti Urbani Ato Toscana Centro","06209840484","ato.toscanacentro@postacert.toscana.it",t,"L1",2782
"ait_048","Autorita Idrica Toscana","06209860482","protocollo@pec.autoritaidrica.toscana.it",t,"L23",2782
"alasr","Aemme Linea Ambiente S.R.L.","06483450968","info@pec.aemmelineaambiente.it",t,"L37",3726
"aldm_an","Assemblea Legislativa delle Marche","80006310421","assemblea.marche@emarche.it",t,"L4",223
"aldsr","Aemme Linea Distribuzione S.R.L.","13476050151","info@pec.aemmelineadistribuzione.it",t,"L37",7
"aleaa","Agenzia per L'Energia Alto Adige - Casaclima","02818150217","info@pec.agenziacasaclima.it",t,"L37",747
"als","Alisea Spa","03216770275","ALISEA2000@PEC.IT",t,"L37",3397
"alsdc_63","Agenzia Locale di Sviluppo Dei Comuni dell'Area Nolana S.C.P.A.","04525451219","AGENZIAAREANOLANA@PEC.IT",t,"L37",1203
"alsia","Agenzia Lucana di Sviluppo e di Innovazione in Agricoltura","00627370778","alsia@postecert.it",t,"L21",3930
"alspa","Amga Legnano S.P.A.","10811500155","info@pec.amga.it",t,"L37",3509
"alsse_vi","Agenzia per Lo Sviluppo Sociale Ed Economico della Provincia Autonoma di Bolzano","94108390215","aswe.asse@pec.prov.bz.it",t,"L1",747
"amap","Amap S.P.A.","04797200823","amapspa@legalmail.it",t,"L37",4904
"amas","Azienda della Mobilita Aquilana Spa","01502970666","ama.aq@legalmail.it",t,"S01",3402
"amm_to","Agenzia per la Mobilita' Metropolitana e Regionale","97639830013","mtm.torino@cert.ruparpiemonte.it",t,"L36",7251
"amspa","Arechi Multiservice Spa","03704200652","raccomandata@pec.arechimultiservice.it",t,"L37",6032
"amts_023","Azienda Mobilita' e Trasporti Spa","00214640237","amtspa@cgn.legalmail.it",t,"L37",7713
"anad","Accademia Nazionale D'Arte Drammatica","80218690586","accademiasilviodamico@pec.it",t,"L43",5873
"and","Accademia Nazionale di Danza","80210990588","accademianazionaledanza@argopec.it",t,"L43",5873
"anla_080","Agenzia Nazionale per L'Amministrazione e La Destinazione Dei Beni Sequestrati e Confiscati alla Criminalita' Organizzata","92069980800","agenzia.nazionale@pec.anbsc.it",t,"C3",5649
"ANSCDBAT","Antica Scuola Dei Battuti","82000890275","anticascuoladeibattuti@legalmail.it",t,"L34",7678
"anvsu_rm","Agenzia Nazionale di Valutazione del Sistema Universitario e della Ricerca","97653310587","anvur@pec.it",t,"C5",5873
"ao_055","Azienda Ospedaliera","00679270553","aospterni@postacert.umbria.it",t,"L8",7169
"aob_bg","Azienda Ospedaliera Bolognini","02585160167","protocollo@pec.bolognini.bg.it",t,"L8",6767
"aobd_017","Acque Ovest Bresciano Due Srl","02944230982","aob2.aga@cert.aob2.it",t,"L37",5951
"aobusto","Azienda Ospedaliera Ospedale di Circolo di Busto Arsizio","02411080126","protocollo@pec.aobusto.it",t,"L8",1007
"aoc_035","Asp Opus Civium","80010310359","asp-castelnovodisotto@altrapec.com",t,"L34",1718
"aocdcb","A.R.N.A.S. CIVICO - DI CRISTINA E BENEFRATELLI","05841770828","ospedalecivicopa@pec.it",t,"L8",4904
"ao_cpoma","Azienda Ospedaliera Carlo Poma di Mantova","01736140201","protocollogenerale@pec.aopoma.it",t,"L8",3803
"aocss_0","Azienda Ospedaliero - Universitaria Citta' della Salute e della Scienza di Torino","10771180014","protocollo@pec.cittadellasalute.to.it",t,"L8",7251
"aodv_108","Azienda Ospedaliera di Desio e Vimercate","02733390963","protocollo@pec.aovimercate.org",t,"L8",7929
"ao_fatof","Azienda Ospedaliera Fatebenefratelli e Oftalmico","11809480152","protocollo@pec.fbf.milano.it",t,"L8",4046
"aogsgm","Azienda Ospedaliera Guido Salvini di Garbagnate Milanese","12314450151","protocollo.generale@pec.aogarbagnate.lombardia.it",t,"L8",3027
"aoilp_mi","Azienda Ospedaliera 'Istituti Clinici di Perfezionamento' di Milano","80031750153","protocollo@pec.icp.mi.it",t,"L8",4046
"aoio_gpm","Azienda Ospedaliera Istituto Ortopedico Gaetano Pini di Milano","80064670153","protocollo@pec.gpini.it",t,"L8",4046
"ao_lo","Azienda Ospedaliera della Provincia di Lodi","03426440966","protocollo@pec.ao.lodi.it",t,"L8",3610
"aomc_003","Azienda Ospedaliero-universitaria Maggiore della Carita","01521330033","protocollo@pec.aou.no.it",t,"L8",4639
"ao_mele","Azienda Ospedaliera Ospedale di Circolo di Melegnano","12319420159","protocollo@pec.aomelegnano.it",t,"L8",7966
"ao_mmchi","AZIENDA OSPEDALIERA M. MELLINI DI CHIARI","01971010986","ufficioprotocollo@pec.aochiari.it",t,"L8",2036
"aoocfm_v","Azienda Ospedaliera Ospedale di Circolo e Fondazione Macchi di Varese","00413270125","protocollo.varese@pec.ospedale.varese.it",t,"L8",7635
"aoomcr","Azienda Ospedaliera Ospedale Maggiore di Crema","01151550199","protocollo@pec.hcrema.it",t,"L8",2427
"aoo_nigu","AZIENDA OSPEDALIERA OSPEDALE NIGUARDA CA GRANDA","11390840152","postacertificata@pec.ospedaleniguarda.it",t,"L8",4046
"aoor_bg","Azienda Ospedaliera Papa Giovanni XXIII","80020570166","ufficioprotocollo@pec.hpg23.it",t,"L8",639
"aoos_015","Azienda Ospedaliera Ospedale San Paolo Milano","80102370154","direzione.generale@pec.ao-sanpaolo.it",t,"L8",4046
"ao_oslc","Azienda Ospedaliera Ospedale di Lecco","02166640132","protocollo@pec.ospedale.lecco.it",t,"L8",3504
"aopc_cz","AZIENDA OSPEDALIERA PUGLIESE - CIACCIO","01991520790","protocollogenerale@pec.aocatanzaro.it",t,"L8",1822
"ao_pg","Azienda Ospedaliera di Perugia","02101050546","aosp.perugia@postacert.umbria.it",t,"L8",5062
"aopso_bo","Azienda Ospedaliero-Universitaria di Bologna Policlinico Sant'Orsola-Malpighi","92038610371","PEIdirezione.generale@pec.aosp.bo.it",t,"L8",740
"c_a421","Comune di Arnara","80001610601","comunediarnara@postecert.it",t,"L6",339
"ao_re","AZIENDA OSPEDALIERA ARCISPEDALE SANTA MARIA NUOVA","01614660353","protocollo@pec.asmn.re.it",t,"L8",5650
"aosa_061","Azienda Ospedaliera Sant'Anna e San Sebastiano di Caserta","02201130610","DIREZIONEGENERALE@OSPEDALECASERTAPEC.IT",t,"L8",1522
"aosa_gal","Azienda Ospedaliera S. Antonio Abate di Gallarate","02411250125","protocollo@pec.aogallarate.it",t,"L8",2991
"ao_sanna","Azienda Ospedaliera Ospedale Sant'Anna di Como","02166380135","protocollo@pec.hsacomo.org",t,"L8",2272
"aosca_pz","Azienda Ospedaliera San Carlo di Potenza","01186830764","AOSANCARLO@CERT.RUPARBASILICATA.IT",t,"L8",5446
"aoscb_mi","Azienda Ospedaliera San Carlo Borromeo di Milano","11385730152","direzione.generale@pec.sancarlo.mi.it",t,"L8",4046
"aosc_bs","Azienda Ospedaliera Spedali Civili di Brescia","00298840174","protocollo.spedalicivilibrescia@legalmail.it",t,"L8",900
"aoscc_cn","AZIENDA OSPEDALIERA SANTA CROCE E CARLE","01127900049","aso.cuneo@cert.legalmail.it",t,"L8",2474
"aosg_108","Azienda Ospedaliera San Gerardo di Monza","03253030153","protocollo@pec.hsgerardo.org",t,"L8",4442
"ao_sgma","Azienda Ospedaliera San Giuseppe Moscati di Avellino","01948180649","aomoscati@cert.aosgmoscati.av.it",t,"L8",411
"aouc_fi","Azienda Ospedaliero Universitaria Careggi di Firenze","04612750481","aoucareggi@pec.it",t,"L8",2782
"aoucpg23","Azienda Ospedaliero Universitaria Consorziale Policlinico di Bari","04846410720","direzione.generale.policlinico.bari@pec.rupar.puglia.it",t,"L8",532
"aou_ge","IRCCS Azienda Ospedaliera Universitaria San Martino - IST - Istituto nazionale per la ricerca sul cancro","02060250996","protocollo@pec.hsanmartino.it",t,"L8",3073
"aoui_ve","Azienda Ospedaliera Universitaria Integrata Verona","03901420236","protocollo.aoui.vr@pecveneto.it",t,"L8",7713
"aou_mo","Azienda Ospedaliero - Universitaria di Modena","02241740360","affarigenerali@pec.policlinico.mo.it",t,"L8",4086
"AOUSMMUD","Azienda Ospedaliero Universitaria Santa Maria Misericordia di Udine","02445630300","AOUDSMM.protgen@certsanita.fvg.it",t,"L8",7470
"AOVV","Azienda Ospedaliera della Valtellina e della Valchiavenna","00202030144","aziendaospedaliera@pec.aovv.it",t,"L8",6932
"apads","Ad Personam Azienda Dei Servizi alla Persona del Comune di Parma","02447070349","adpersonam@registerpec.it",t,"L34",4954
"apas","Asp Pubblica Assistenza della Spezia","80001050113","paspezia@pec.it",t,"L34",3409
"apicr","Adopera Patrimonio e Investimenti Casalecchio di Reno Srl","02780831208","adoperasrl@legalmail.it",t,"L37",1456
"APMes","Autorita' Portuale di Messina","80005610839","ammgentile@autoritaportualemessina.it",t,"L11",4015
"apng_mb","Asp 'Pio e Ninetta Gavazzi'","83007380153","protocollo@pec.casadiriposogavazzi.it",t,"L34",2537
"app_049","Autorita Portuale di Piombino","90015100499","info@pec.porto.piombino.li.it",t,"L11",5234
"apr_ra","Autorita' Portuale di Ravenna","92033190395","port.ravenna@legalmail.it",t,"L11",5630
"aps_022","A.P.S.P.S. Spirito Fondazione Montel","00358720225","amministrazione@pec.apsp-pergine.it",t,"L34",5043
"aps_0221","AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA SAN VALENTINO","81001910223","apsplevicoterme@pec.it",t,"L34",3551
"apsp","Azienda Pubblica di Servizi alla Persona","83002460224","apsp-pellizzano@pec.it",t,"L34",5021
"apsp_022","Azienda Pubblica di Servizi alla Persona Valle del Vanoi","81002610228","apsp.vanoi@pec.it",t,"L34",1208
"apsp_052","Azienda Pubblica Servizi alla Persona Maria Redditi","81001890524","istitutoredditi@pec.it",t,"L34",6869
"apspa","A.P.S.P. Anaunia","01839930227","apsptaio@pec.it",t,"L34",7099
"apspb_","A.P.S.P. Beato De Tschiderer Gia' Istituto Arcivescovile per Sordi","80002870220","iaps.tn@pcert.it",t,"L34",7378
"apspc","Azienda Pubblica di Servizi alla Persona Cordenonese","80001590936","aspcordenonese@pec.it",t,"L34",2317
"apspc1","A.P.S.P. Casa di Riposo S.Vigilio - Fondazione Bonazza","86001550226","segreteria@pec.casariposospiazzo.it",t,"L34",6991
"apspca","Azienda Pubblica di Servizi alla Persona Casa per Anziani","02460260306","postacert@pec.aspcividale.it",t,"L34",2144
"apspcb","A.P.S.P. Cesare Benedetti","00323360222","amministrazione@pec.apsp-cesarebenedetti.it",t,"L34",4464
"apspcdl","Azienda Pubblica Servizi alla Persona Cristani - De Luca","00374380228","casacristani@pec.it",t,"L34",4030
"apspcdp","Azienda Pubblica di Servizi alla Persona Centro Carlo del Prete","80003370469","aspcarlodelprete@pec.it",t,"L34",3660
"apspcdr","Azienda Pubblica di Servizi alla Persona Citta di Riva","02086810229","apsp.cittadiriva@registerpec.it",t,"L34",5727
"apspcl","A.P.S.P. Casa Laner","85004510229","amministrazione@pec.casalaner.it",t,"L34",2814
"apspc_tn","A.P.S.P. Centro Residenziale 'Abelardo Collini' di Pinzolo","95003080223","segreteria@pec.apsp-pinzolo.it",t,"L34",5228
"apspcv","Azienda Pubblica di Servizi alla Persona Clementino Vannetti","02086700222","apspvannetti@pec.it",t,"L34",5961
"apspd_","Azienda Pubblica di Servizi alla Persona Daniele Moro","00089850937","entemoro@legalmail.it",t,"L34",4485
"apspdc","Azienda Pubblica di Servizi alla Del Campana Guazzesi","82000570505","d.fiordispina@pec.delcampana.it",t,"L34",6298
"apspf","A.P.S.P. Fondazione Giannino e Maria Galvagni","85006480223","fondazionegalvagni@pec.it",t,"L34",3354
"apsp_gc","Azienda Pubblica di Servizi alla Persona Giovanni Chiaba' di San Giorgio di Nogaro","81001630300","asp@pec.gchiaba.it",t,"L34",6179
"apspgs","Azienda Pubblica di Servizi alla Persona Giudicarie Esteriori","86000490226","amministrazione@pec.apspgiudicarieesteriori.it",t,"L34",714
"apspi_ts","Azienda Pubblica di Servizi alla Persona Itis","80013710324","segreteria@pec.itis.it",t,"L34",7417
